Start (s),End (s),Scientific name,Common name,Confidence,File
1.5,4.5,Sphyrapicus varius,Yellow-bellied Sapsucker,0.1987,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
7.5,10.5,Corvus brachyrhynchos,American Crow,0.2171,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
9.0,12.0,Empidonax minimus,Least Flycatcher,0.1106,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
10.5,13.5,Empidonax minimus,Least Flycatcher,0.1167,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
12.0,15.0,Empidonax minimus,Least Flycatcher,0.1599,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
15.0,18.0,Empidonax minimus,Least Flycatcher,0.2082,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
16.5,19.5,Corvus brachyrhynchos,American Crow,0.1354,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
16.5,19.5,Empidonax minimus,Least Flycatcher,0.1264,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
21.0,24.0,Empidonax minimus,Least Flycatcher,0.1379,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
28.5,31.5,Melanerpes carolinus,Red-bellied Woodpecker,0.1731,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
30.0,33.0,Melanerpes carolinus,Red-bellied Woodpecker,0.1771,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
31.5,34.5,Melanerpes carolinus,Red-bellied Woodpecker,0.1897,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
33.0,36.0,Melanerpes carolinus,Red-bellied Woodpecker,0.2535,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
45.0,48.0,Dumetella carolinensis,Gray Catbird,0.1098,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
105.0,108.0,Corvus brachyrhynchos,American Crow,0.1000,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
109.5,112.5,Buteo lineatus,Red-shouldered Hawk,0.1108,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
124.5,127.5,Corvus brachyrhynchos,American Crow,0.2576,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
127.5,130.5,Corvus brachyrhynchos,American Crow,0.1748,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
129.0,132.0,Corvus brachyrhynchos,American Crow,0.1407,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
129.0,132.0,Turdus migratorius,American Robin,0.1029,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
132.0,135.0,Corvus brachyrhynchos,American Crow,0.1323,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
133.5,136.5,Corvus brachyrhynchos,American Crow,0.5555,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
147.0,150.0,Piranga olivacea,Scarlet Tanager,0.1037,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
153.0,156.0,Turdus migratorius,American Robin,0.1696,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
154.5,157.5,Setophaga caerulescens,Black-throated Blue Warbler,0.1113,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
156.0,159.0,Hylocichla mustelina,Wood Thrush,0.1430,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
171.0,174.0,Spinus tristis,American Goldfinch,0.1903,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
171.0,174.0,Hylocichla mustelina,Wood Thrush,0.1444,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
172.5,175.5,Spinus tristis,American Goldfinch,0.7968,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
174.0,177.0,Spinus tristis,American Goldfinch,0.3931,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
175.5,178.5,Spinus tristis,American Goldfinch,0.3549,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
177.0,180.0,Spinus tristis,American Goldfinch,0.3829,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
178.5,181.5,Spinus tristis,American Goldfinch,0.6693,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
180.0,183.0,Spinus tristis,American Goldfinch,0.3166,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
181.5,184.5,Spinus tristis,American Goldfinch,0.1909,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
183.0,186.0,Spinus tristis,American Goldfinch,0.3512,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
184.5,187.5,Spinus tristis,American Goldfinch,0.1244,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
189.0,192.0,Meleagris gallopavo,Wild Turkey,0.3101,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
190.5,193.5,Hylocichla mustelina,Wood Thrush,0.1447,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
199.5,202.5,Meleagris gallopavo,Wild Turkey,0.1214,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
204.0,207.0,Aix sponsa,Wood Duck,0.1071,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
205.5,208.5,Cardinalis cardinalis,Northern Cardinal,0.1316,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
217.5,220.5,Corvus brachyrhynchos,American Crow,0.2445,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
235.5,238.5,Meleagris gallopavo,Wild Turkey,0.1087,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
241.5,244.5,Branta canadensis,Canada Goose,0.1092,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
243.0,246.0,Turdus migratorius,American Robin,0.1473,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
244.5,247.5,Turdus migratorius,American Robin,0.1222,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
246.0,249.0,Corvus brachyrhynchos,American Crow,0.5514,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
246.0,249.0,Vireo olivaceus,Red-eyed Vireo,0.3715,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
247.5,250.5,Turdus migratorius,American Robin,0.2039,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
247.5,250.5,Corvus brachyrhynchos,American Crow,0.1844,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
247.5,250.5,Piranga olivacea,Scarlet Tanager,0.1554,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
249.0,252.0,Turdus migratorius,American Robin,0.1128,/Users/lillianwang/Downloads/research/chris 25-6-2/20250602_100600_SSW01.WAV
