Start (s),End (s),Scientific name,Common name,Confidence,File
1.5,4.5,Sphyrapicus varius,Yellow-bellied Sapsucker,0.1767,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
1.5,4.5,Dryobates pubescens,Downy Woodpecker,0.1154,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
9.0,12.0,Troglodytes aedon,House Wren,0.1179,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
18.0,21.0,Dumetella carolinensis,Gray Catbird,0.4341,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
19.5,22.5,Dumetella carolinensis,Gray Catbird,0.1033,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
21.0,24.0,Melospiza melodia,Song Sparrow,0.3805,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
22.5,25.5,Dumetella carolinensis,Gray Catbird,0.3616,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
22.5,25.5,Melospiza melodia,Song Sparrow,0.1732,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
24.0,27.0,Dumetella carolinensis,Gray Catbird,0.5644,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
25.5,28.5,Dumetella carolinensis,Gray Catbird,0.5356,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
37.5,40.5,Troglodytes aedon,House Wren,0.1247,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
37.5,40.5,Spinus tristis,American Goldfinch,0.1039,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
37.5,40.5,Vireo olivaceus,Red-eyed Vireo,0.1027,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
43.5,46.5,Vireo olivaceus,Red-eyed Vireo,0.1878,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
49.5,52.5,Sphyrapicus varius,Yellow-bellied Sapsucker,0.4929,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
51.0,54.0,Sphyrapicus varius,Yellow-bellied Sapsucker,0.4344,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
52.5,55.5,Sphyrapicus varius,Yellow-bellied Sapsucker,0.4164,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
54.0,57.0,Sphyrapicus varius,Yellow-bellied Sapsucker,0.5865,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
54.0,57.0,Dryobates pubescens,Downy Woodpecker,0.1305,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
57.0,60.0,Melospiza melodia,Song Sparrow,0.1439,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
58.5,61.5,Melospiza melodia,Song Sparrow,0.2504,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
61.5,64.5,Melospiza melodia,Song Sparrow,0.2542,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
64.5,67.5,Poecile atricapillus,Black-capped Chickadee,0.1646,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
67.5,70.5,Melospiza melodia,Song Sparrow,0.2869,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
69.0,72.0,Melospiza melodia,Song Sparrow,0.1067,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
70.5,73.5,Melospiza melodia,Song Sparrow,0.1624,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
72.0,75.0,Agelaius phoeniceus,Red-winged Blackbird,0.2214,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
73.5,76.5,Dumetella carolinensis,Gray Catbird,0.3019,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
76.5,79.5,Branta canadensis,Canada Goose,0.1647,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
76.5,79.5,Agelaius phoeniceus,Red-winged Blackbird,0.1181,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
78.0,81.0,Dumetella carolinensis,Gray Catbird,0.1619,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
79.5,82.5,Melospiza melodia,Song Sparrow,0.3819,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
79.5,82.5,Agelaius phoeniceus,Red-winged Blackbird,0.1019,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
81.0,84.0,Melospiza melodia,Song Sparrow,0.7290,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
81.0,84.0,Branta canadensis,Canada Goose,0.1237,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
82.5,85.5,Melospiza melodia,Song Sparrow,0.1506,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
94.5,97.5,Melospiza melodia,Song Sparrow,0.1157,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
102.0,105.0,Ardea herodias,Great Blue Heron,0.1048,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
126.0,129.0,Dumetella carolinensis,Gray Catbird,0.1224,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
127.5,130.5,Dumetella carolinensis,Gray Catbird,0.1041,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
129.0,132.0,Dumetella carolinensis,Gray Catbird,0.3485,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
129.0,132.0,Cardinalis cardinalis,Northern Cardinal,0.1247,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
130.5,133.5,Spinus tristis,American Goldfinch,0.1615,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
130.5,133.5,Dumetella carolinensis,Gray Catbird,0.1047,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
133.5,136.5,Dumetella carolinensis,Gray Catbird,0.1230,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
135.0,138.0,Melospiza melodia,Song Sparrow,0.1143,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
138.0,141.0,Poecile atricapillus,Black-capped Chickadee,0.2404,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
138.0,141.0,Spinus tristis,American Goldfinch,0.1255,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
138.0,141.0,Cardinalis cardinalis,Northern Cardinal,0.1214,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
139.5,142.5,Poecile atricapillus,Black-capped Chickadee,0.2461,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
141.0,144.0,Poecile atricapillus,Black-capped Chickadee,0.1066,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
141.0,144.0,Dumetella carolinensis,Gray Catbird,0.1021,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
144.0,147.0,Melospiza melodia,Song Sparrow,0.1169,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
145.5,148.5,Melospiza melodia,Song Sparrow,0.1254,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
147.0,150.0,Melospiza melodia,Song Sparrow,0.2270,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
148.5,151.5,Melospiza melodia,Song Sparrow,0.3646,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
150.0,153.0,Poecile atricapillus,Black-capped Chickadee,0.2251,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
151.5,154.5,Poecile atricapillus,Black-capped Chickadee,0.2803,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
151.5,154.5,Dumetella carolinensis,Gray Catbird,0.1321,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
153.0,156.0,Poecile atricapillus,Black-capped Chickadee,0.1012,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
154.5,157.5,Poecile atricapillus,Black-capped Chickadee,0.1695,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
156.0,159.0,Poecile atricapillus,Black-capped Chickadee,0.1293,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
157.5,160.5,Dumetella carolinensis,Gray Catbird,0.1244,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
157.5,160.5,Poecile atricapillus,Black-capped Chickadee,0.1105,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
159.0,162.0,Melospiza melodia,Song Sparrow,0.4718,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
160.5,163.5,Melospiza melodia,Song Sparrow,0.2260,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
162.0,165.0,Melospiza melodia,Song Sparrow,0.1128,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
163.5,166.5,Melospiza melodia,Song Sparrow,0.1624,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
165.0,168.0,Melospiza melodia,Song Sparrow,0.2163,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
166.5,169.5,Dumetella carolinensis,Gray Catbird,0.1107,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
168.0,171.0,Poecile atricapillus,Black-capped Chickadee,0.1565,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
168.0,171.0,Setophaga petechia,Yellow Warbler,0.1081,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
172.5,175.5,Melospiza melodia,Song Sparrow,0.2372,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
174.0,177.0,Melospiza melodia,Song Sparrow,0.2300,/Users/lillianwang/Downloads/Original Wave Files/20250611-080717_SSW03.WAV
