Species,Count,Location,Observation Type,Observation Date,Start Time,Duration,Distance,Area,Party Size,Complete Checklist,# of species,Details
Red-bellied Woodpecker,1,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,SH
Hairy Woodpecker (Eastern),2,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
Blue Jay,5,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
American Crow,2,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
Red-breasted Nuthatch,1,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
American Robin,2,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
American Goldfinch,2,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,SH
Song Sparrow (melodia/atlantica),2,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
Brown-headed Cowbird,2,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,SH
Common Yellowthroat,1,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
Northern Cardinal,1,SSW01,Stationary,"Jun 2, 2025",10:06 AM,5 minute(s),,,1,true,11 species,H
