Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species	Notes
1	Spectrogram 1	1	0.846389911	1.089898842	2443.000	3173.900	BLJA	Most intense band only
2	Spectrogram 1	1	0.846389911	1.154703638	2401.300	7099.400	BLJA	With harmonics
3	Spectrogram 1	1	2.308028715	2.826467082	2129.800	5178.400	REVI	
4	Spectrogram 1	1	3.155268389	3.386994630	2631.000	3236.500	BLJA	
5	Spectrogram 1	1	3.163123516	3.445908081	1670.500	7078.600	BLJA	
6	Spectrogram 1	1	7.743738087	8.109001482	1774.900	3904.700	REVI	
7	Spectrogram 1	1	10.079675500	10.560802015	3006.800	3821.200	BLJA	
8	Spectrogram 1	1	10.079675500	10.558838234	1294.600	7370.900	BLJA	
9	Spectrogram 1	1	10.696302953	11.094950637	2839.800	3779.400	BLJA	
10	Spectrogram 1	1	10.704158079	11.126371144	1273.700	9250.100	BLJA	
11	Spectrogram 1	1	11.324713095	11.723360780	2965.100	3800.300	BLJA	
12	Spectrogram 1	1	11.316857969	11.774419104	1127.600	10043.600	BLJA	
13	Spectrogram 1	1	11.910504974	12.311116440	2923.300	3737.600	BLJA	
14	Spectrogram 1	1	11.906577410	12.342536947	1399.000	9876.600	BLJA	
15	Spectrogram 1	1	7.733484881	7.835601529	1148.400	1816.600	AMCR	
16	Spectrogram 1	1	7.984848938	8.086965587	1190.200	1837.500	AMCR	
17	Spectrogram 1	1	8.218538960	8.316728045	1085.800	1837.500	AMCR	
18	Spectrogram 1	1	8.458120327	8.573983447	1232.000	1774.900	AMCR	
19	Spectrogram 1	1	7.612844722	9.138703100	2944.200	6347.700	COYE	
20	Spectrogram 1	1	12.463177394	12.594750768	1169.300	1816.600	AMCR	
21	Spectrogram 1	1	12.692939853	12.816658100	1148.400	1795.700	AMCR	
22	Spectrogram 1	1	12.969833072	13.081768629	1211.100	1754.000	AMCR	
23	Spectrogram 1	1	13.217269566	13.370444538	1023.200	1733.100	AMCR	
24	Spectrogram 1	1	12.905028276	13.386154792	2171.600	5700.400	REVI	
25	Spectrogram 1	1	13.533173876	13.682421285	2610.100	3299.100	TUTI	
26	Spectrogram 1	1	13.768827680	14.067322498	1733.100	4322.300	REVI	
27	Spectrogram 1	1	14.149801329	14.397237823	2505.700	3194.700	BLJA	Strongest band
28	Spectrogram 1	1	14.143909984	14.422766985	1545.200	7015.900	BLJA	Entire call w/ harmonics
29	Spectrogram 1	1	14.518727745	14.968433754	2380.400	5220.200	REVI	
30	Spectrogram 1	1	15.849057429	16.381242269	1858.400	5261.900	REVI	
31	Spectrogram 1	1	17.078970281	17.518857381	2004.500	5220.200	REVI	
32	Spectrogram 1	1	17.781739586	17.879928670	1252.800	1879.300	AMCR	
33	Spectrogram 1	1	17.677659156	18.182351052	2589.200	4510.200	EWPE	Strong, main section of call
34	Spectrogram 1	1	17.675695374	18.308033080	2568.300	4510.200	EWPE	Tail included
35	Spectrogram 1	1	18.604299574	18.955816498	2150.700	4030.000	REVI	
36	Spectrogram 1	1	18.409885186	19.713836232	2359.500	6995.000	COYE	
37	Spectrogram 1	1	20.039559163	20.469627355	1795.700	5053.100	REVI	
38	Spectrogram 1	1	20.724654433	21.233273892	3215.600	4572.900	EWPE	
39	Spectrogram 1	1	21.150795061	21.584790816	2108.900	5909.200	REVI	
40	Spectrogram 1	1	20.434014742	20.569515679	5011.400	5408.100	SOSP	Single song element
41	Spectrogram 1	1	20.697161489	20.838553771	4865.200	5345.500	SOSP	element
42	Spectrogram 1	1	21.054569758	21.178288005	6389.500	6911.500	SOSP	element
43	Spectrogram 1	1	21.388412646	21.682979901	6201.600	6765.300	SOSP	element
44	Spectrogram 1	1	22.071544134	22.216863980	5366.300	7517.000	SOSP	element
45	Spectrogram 1	1	22.356292480	22.470191818	3821.200	5763.100	SOSP	element
46	Spectrogram 1	1	22.046014972	22.503576107	3675.000	7892.900	SOSP	Two elements together
47	Spectrogram 1	1	20.408485291	22.454745819	4134.400	7517.000	SOSP	Entire song
48	Spectrogram 1	1	22.855092743	23.300871188	2004.500	4948.700	REVI	
49	Spectrogram 1	1	22.634167135	22.706827057	1002.300	3048.600	COGR	
50	Spectrogram 1	1	24.116557773	24.530915711	2317.800	5094.900	REVI	
51	Spectrogram 1	1	24.587865380	25.131832910	3153.000	4572.900	EWPE	
52	Spectrogram 1	1	25.145314839	25.435954530	2568.300	4927.800	REVI	
53	Spectrogram 1	1	26.084436142	26.475228699	2088.100	5011.400	REVI	
54	Spectrogram 1	1	27.887772960	28.235362320	2129.800	5094.900	REVI	
55	Spectrogram 1	1	27.068875993	27.261326599	7433.500	7997.300	SOSP	
56	Spectrogram 1	1	27.440030733	27.622662431	7287.400	7913.800	SOSP	
57	Spectrogram 1	1	27.718887734	27.899555650	7475.300	7913.800	SOSP	
58	Spectrogram 1	1	27.059057084	27.915265904	7350.000	8018.200	SOSP	
59	Spectrogram 1	1	28.343955247	30.056372886	1837.500	6577.400	COYE	Entire song
60	Spectrogram 1	1	28.648341410	28.972365390	2129.800	5825.700	COYE	Song element
61	Spectrogram 1	1	29.716638653	30.019061034	1900.100	4071.700	REVI	
62	Spectrogram 1	1	30.541162422	31.116550460	3194.700	4614.600	EWPE	
63	Spectrogram 1	1	31.057637009	31.318819974	2108.900	4322.300	REVI	
64	Spectrogram 1	1	31.604153541	31.735726915	2422.200	3153.000	REVI	
65	Spectrogram 1	1	32.063678458	32.517312030	3257.400	4447.600	EWPE	
66	Spectrogram 1	1	32.647771098	32.848076831	2714.500	4009.100	REVI	
67	Spectrogram 1	1	32.820583887	33.056237691	1900.100	4364.100	REVI	
68	Spectrogram 1	1	33.761820541	34.665160121	3173.900	4677.300	EWPE	
