Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Species
1	Spectrogram 1	1	0.971880231	1.157837896	2805.645	7784.677	4-added-channels.wav	YEWA
2	Spectrogram 1	1	2.009878498	2.123932532	3042.742	3556.452	4-added-channels.wav	RWBL
3	Spectrogram 1	1	2.897516419	2.949584565	4228.226	4820.968	4-added-channels.wav	SOSP
4	Spectrogram 1	1	5.140345772	5.303988518	4030.645	6994.355	4-added-channels.wav	COYE
5	Spectrogram 1	1	8.097251984	8.169155615	4228.226	5413.710	4-added-channels.wav	COYE
6	Spectrogram 1	1	10.161562267	10.322725577	3358.871	3991.129	4-added-channels.wav	SOSP
7	Spectrogram 1	1	12.251551571	12.323455202	3082.258	3556.452	4-added-channels.wav	SOSP
8	Spectrogram 1	1	12.965629005	13.084641910	3240.323	6717.742	4-added-channels.wav	YEWA
9	Spectrogram 1	1	13.420075523	13.504376331	2924.194	4267.742	4-added-channels.wav	EATO
10	Spectrogram 1	1	15.850457311	15.895087150	2608.065	3675.000	4-added-channels.wav	GRCA
11	Spectrogram 1	1	20.466106182	20.528092071	7112.903	8298.387	4-added-channels.wav	BCCH
12	Spectrogram 1	1	20.390838162	21.147066000	2568.548	3951.613	4-added-channels.wav	RWBL
13	Spectrogram 1	1	22.267596011	22.403964965	4188.710	7468.548	4-added-channels.wav	COYE
14	Spectrogram 1	1	22.803154086	22.976714573	2489.516	2963.710	4-added-channels.wav	SOSP
15	Spectrogram 1	1	25.196344341	25.340151602	4070.161	6164.516	4-added-channels.wav	COYE
16	Spectrogram 1	1	26.386473397	26.473253641	5729.839	7231.452	4-added-channels.wav	BCCH
17	Spectrogram 1	1	24.540178878	24.646794606	3358.871	4386.290	4-added-channels.wav	BCCH
18	Spectrogram 1	1	27.131014160	27.165726258	2133.871	3042.742	4-added-channels.wav	RWBL
19	Spectrogram 1	1	27.178123435	27.378957714	3912.097	4583.871	4-added-channels.wav	AGOL
20	Spectrogram 1	1	28.406153840	28.485495777	2884.677	4465.323	4-added-channels.wav	GRCA
21	Spectrogram 1	1	29.530047952	29.621787067	1975.806	3516.935	4-added-channels.wav	AMRO
22	Spectrogram 1	1	30.070564899	30.174701191	3121.774	4939.516	4-added-channels.wav	ALFL
23	Spectrogram 1	1	31.395293289	31.477114662	3358.871	4070.161	4-added-channels.wav	SOSP
24	Spectrogram 1	1	33.100462209	33.226913421	4307.258	7033.871	4-added-channels.wav	COYE
25	Spectrogram 1	1	33.819498514	33.881484402	3082.258	3635.484	4-added-channels.wav	BLJA
26	Spectrogram 1	1	35.596193987	36.399531100	2529.032	3793.548	4-added-channels.wav	RWBL
27	Spectrogram 1	1	37.044894154	37.129194962	3754.032	4504.839	4-added-channels.wav	ALFL
28	Spectrogram 1	1	38.592771743	38.659716502	2924.194	3714.516	4-added-channels.wav	RWBL
29	Spectrogram 1	1	39.232466110	39.351479016	2252.419	3675.000	4-added-channels.wav	GRCA
30	Spectrogram 1	1	40.624139260	40.832411845	3042.742	5413.710	4-added-channels.wav	RWBL
31	Spectrogram 1	1	40.958863057	41.152259029	2015.323	2884.677	4-added-channels.wav	NOCA
32	Spectrogram 1	1	41.195119248	41.331488203	3437.903	5216.129	4-added-channels.wav	COYE
33	Spectrogram 1	1	43.121465807	43.208246051	3437.903	3991.129	4-added-channels.wav	SOSP
34	Spectrogram 1	1	45.380056440	45.526343137	4267.742	7270.968	4-added-channels.wav	COYE
35	Spectrogram 1	1	47.054385241	47.126288871	3675.000	4900.000	4-added-channels.wav	ALFL
37	Spectrogram 1	1	48.065109985	48.320491845	2963.710	5690.323	4-added-channels.wav	
38	Spectrogram 1	1	50.177413921	50.251796987	2924.194	4425.806	4-added-channels.wav	FISP
39	Spectrogram 1	1	51.031049560	51.115350368	2766.129	4820.968	4-added-channels.wav	ALFL
40	Spectrogram 1	1	52.318586130	52.452475649	2370.968	3161.290	4-added-channels.wav	BAOR
41	Spectrogram 1	1	53.876381461	54.044983077	3121.774	4070.161	4-added-channels.wav	RWBL
42	Spectrogram 1	1	54.186310903	54.270611711	3121.774	3635.484	4-added-channels.wav	RWBL
43	Spectrogram 1	1	55.635011357	55.694517810	3477.419	4070.161	4-added-channels.wav	SOSP
44	Spectrogram 1	1	56.699399017	56.788658696	2845.161	4781.452	4-added-channels.wav	ALFL
45	Spectrogram 1	1	57.135779671	57.264710318	2924.194	3912.097	4-added-channels.wav	RWBL
46	Spectrogram 1	1	58.180331846	58.334056849	4346.774	7033.871	4-added-channels.wav	COYE
47	Spectrogram 1	1	59.571120329	59.675256622	3358.871	4741.935	4-added-channels.wav	AGOL
48	Spectrogram 1	1	60.881856773	60.953760403	3279.839	4860.484	4-added-channels.wav	COYE
49	Spectrogram 1	1	61.329749651	61.379338361	3003.226	4623.387	4-added-channels.wav	RWBL
50	Spectrogram 1	1	61.488433525	61.666952883	1699.194	2370.968	4-added-channels.wav	NOCA
51	Spectrogram 1	1	61.788445224	61.914896437	2963.710	4109.677	4-added-channels.wav	EATO
52	Spectrogram 1	1	62.923851561	63.015590675	7389.516	8061.290	4-added-channels.wav	BCCH
53	Spectrogram 1	1	63.085014870	63.603216897	2568.548	3714.516	4-added-channels.wav	RWBL
54	Spectrogram 1	1	64.464290842	64.570906570	3398.387	5097.581	4-added-channels.wav	ALFL
55	Spectrogram 1	1	64.865959399	64.922986416	2766.129	5374.194	4-added-channels.wav	RWBL
56	Spectrogram 1	1	65.657609150	65.823731330	2687.097	3319.355	4-added-channels.wav	AGOL
57	Spectrogram 1	1	66.265070855	66.329536179	6559.677	7745.161	4-added-channels.wav	BCCH
58	Spectrogram 1	1	67.242677984	67.317061050	2963.710	4662.903	4-added-channels.wav	ALFL
59	Spectrogram 1	1	66.764146926	66.811256201	3200.806	4900.000	4-added-channels.wav	RWBL
60	Spectrogram 1	1	69.021142789	69.117840775	2252.419	3319.355	4-added-channels.wav	BAOR
61	Spectrogram 1	1	68.448393181	68.609556491	3003.226	4030.645	4-added-channels.wav	EATO
62	Spectrogram 1	1	70.095448191	70.137598595	3003.226	4623.387	4-added-channels.wav	RWBL
63	Spectrogram 1	1	70.278926420	70.355788922	2212.903	2647.581	4-added-channels.wav	BAOR
64	Spectrogram 1	1	71.402820532	71.519354003	3279.839	4267.742	4-added-channels.wav	SOSP
65	Spectrogram 1	1	72.897745309	73.014278779	4188.710	7429.032	4-added-channels.wav	COYE
66	Spectrogram 1	1	72.776252967	72.853115469	2608.065	3398.387	4-added-channels.wav	BAOR
67	Spectrogram 1	1	73.215113057	73.321728785	2410.484	2766.129	4-added-channels.wav	RWBL
68	Spectrogram 1	1	74.329089427	74.405951929	3793.548	4583.871	4-added-channels.wav	COYE
69	Spectrogram 1	1	76.857938245	76.927362440	2687.097	3912.097	4-added-channels.wav	EATO
70	Spectrogram 1	1	77.061961775	77.151221454	7350.000	8061.290	4-added-channels.wav	BCCH
71	Spectrogram 1	1	77.555369446	77.619834770	2647.581	5058.065	4-added-channels.wav	RWBL
72	Spectrogram 1	1	77.830586790	77.882654936	2687.097	3991.129	4-added-channels.wav	AGOL
73	Spectrogram 1	1	79.494997849	79.539627688	3279.839	4346.774	4-added-channels.wav	RWBL
74	Spectrogram 1	1	80.930416172	80.997360931	3714.516	4544.355	4-added-channels.wav	RWBL
75	Spectrogram 1	1	81.515562958	81.580028282	7112.903	7903.226	4-added-channels.wav	NOCA
76	Spectrogram 1	1	83.301466358	83.373369988	3437.903	4030.645	4-added-channels.wav	SOSP
77	Spectrogram 1	1	84.541009274	84.781514521	2726.613	3200.806	4-added-channels.wav	BLJA
78	Spectrogram 1	1	85.116238318	85.200539126	2687.097	3200.806	4-added-channels.wav	BLJA
79	Spectrogram 1	1	85.128635495	85.260045579	4346.774	7191.935	4-added-channels.wav	COYE
80	Spectrogram 1	1	86.907810404	86.979714034	2647.581	4346.774	4-added-channels.wav	FISP
81	Spectrogram 1	1	87.933411761	88.027630311	3516.935	4623.387	4-added-channels.wav	COYE
82	Spectrogram 1	1	88.298598600	88.372981666	2173.387	2884.677	4-added-channels.wav	BAOR
83	Spectrogram 1	1	89.131688939	89.191195392	2252.419	2766.129	4-added-channels.wav	BAOR
84	Spectrogram 1	1	89.699479677	89.744109516	4702.419	5374.194	4-added-channels.wav	YEWA
85	Spectrogram 1	1	90.872962499	91.641587515	2489.516	4109.677	4-added-channels.wav	RWBL
86	Spectrogram 1	1	91.877843706	91.929911852	3042.742	4109.677	4-added-channels.wav	AGOL
87	Spectrogram 1	1	91.932391288	91.991897741	6875.806	7982.258	4-added-channels.wav	BCCH
88	Spectrogram 1	1	92.562877729	92.642219666	4504.839	4900.000	4-added-channels.wav	SOSP
89	Spectrogram 1	1	93.026532174	93.113312417	3279.839	5018.548	4-added-channels.wav	ALFL
90	Spectrogram 1	1	95.657038137	95.723982896	3635.484	6164.516	4-added-channels.wav	NHWR
91	Spectrogram 1	1	96.840438702	96.885068541	4425.806	5611.290	4-added-channels.wav	RWBL
92	Spectrogram 1	1	97.746142487	97.887470312	3951.613	4465.323	4-added-channels.wav	RWBL
93	Spectrogram 1	1	98.447822743	98.589150568	4267.742	6796.774	4-added-channels.wav	COYE
94	Spectrogram 1	1	98.457740485	98.631300972	2410.484	3240.323	4-added-channels.wav	RWBL
95	Spectrogram 1	1	98.316412660	98.375919112	6362.097	7784.677	4-added-channels.wav	BCCH
96	Spectrogram 1	1	97.971771120	98.016400960	7310.484	7784.677	4-added-channels.wav	BCCH
97	Spectrogram 1	1	98.849491299	98.886682832	2410.484	2845.161	4-added-channels.wav	SOSP
98	Spectrogram 1	1	100.708893099	100.827906005	2884.677	4188.710	4-added-channels.wav	FISP
99	Spectrogram 1	1	102.382337521	102.483994378	3437.903	6006.452	4-added-channels.wav	YEWA
100	Spectrogram 1	1	103.697148169	104.408746168	2450.000	4070.161	4-added-channels.wav	RWBL
101	Spectrogram 1	1	104.697070505	104.818562846	2805.645	4149.194	4-added-channels.wav	EATO
102	Spectrogram 1	1	107.471384016	107.545767082	2647.581	3437.903	4-added-channels.wav	GRCA
103	Spectrogram 1	1	108.024123290	108.076191436	3398.387	5216.129	4-added-channels.wav	AGOL
104	Spectrogram 1	1	108.936555566	109.333265251	2963.710	3793.548	4-added-channels.wav	RWBL
105	Spectrogram 1	1	110.062044448	110.138906949	3161.290	4465.323	4-added-channels.wav	ALFL
106	Spectrogram 1	1	110.300070259	110.533137199	4030.645	4465.323	4-added-channels.wav	SOSP
107	Spectrogram 1	1	112.851234572	112.992562398	4109.677	7152.419	4-added-channels.wav	COYE
108	Spectrogram 1	1	113.714787954	113.796609326	3714.516	4900.000	4-added-channels.wav	COYE
109	Spectrogram 1	1	114.260263771	114.322249659	6599.194	7270.968	4-added-channels.wav	SOSP
110	Spectrogram 1	1	115.225474009	115.284980462	1778.226	2845.161	4-added-channels.wav	NOCA
111	Spectrogram 1	1	114.689915934	114.771737306	2845.161	5453.226	4-added-channels.wav	RWBL
112	Spectrogram 1	1	117.714652147	117.776638035	1857.258	2805.645	4-added-channels.wav	GRCA
113	Spectrogram 1	1	117.890692069	118.007225540	4346.774	7587.097	4-added-channels.wav	YEWA
114	Spectrogram 1	1	118.282442884	118.361784821	2805.645	5887.903	4-added-channels.wav	RWBL
115	Spectrogram 1	1	118.669944643	118.739368837	2331.452	3754.032	4-added-channels.wav	EATO
116	Spectrogram 1	1	119.588930272	119.707943177	1936.290	2805.645	4-added-channels.wav	GRCA
117	Spectrogram 1	1	121.452405988	121.682993493	2884.677	3991.129	4-added-channels.wav	FISP
118	Spectrogram 1	1	121.757376559	121.873910029	2252.419	3200.806	4-added-channels.wav	RWBL
119	Spectrogram 1	1	122.203674955	122.253263666	5058.065	5571.774	4-added-channels.wav	RWBL
120	Spectrogram 1	1	123.835853352	123.917674724	4228.226	5374.194	4-added-channels.wav	BARS
121	Spectrogram 1	1	123.409390440	123.456499715	1659.677	3042.742	4-added-channels.wav	NOCA
122	Spectrogram 1	1	124.432512362	124.492018814	2212.903	3042.742	4-added-channels.wav	GRCA
123	Spectrogram 1	1	126.264640083	126.492748152	2726.613	3912.097	4-added-channels.wav	RWBL
124	Spectrogram 1	1	127.421651523	127.548102735	2252.419	5848.387	4-added-channels.wav	COYE
125	Spectrogram 1	1	128.559537582	128.710783150	6875.806	7112.903	4-added-channels.wav	SOP
128	Spectrogram 1	1	130.279380889	130.363681697	1580.645	3319.355	4-added-channels.wav	NOCA
129	Spectrogram 1	1	130.934661398	131.023921077	3003.226	6915.323	4-added-channels.wav	RWBL
130	Spectrogram 1	1	132.419668719	132.523805012	3319.355	5453.226	4-added-channels.wav	AGOL
131	Spectrogram 1	1	132.841172760	132.920514697	2173.387	3675.000	4-added-channels.wav	GRCA
132	Spectrogram 1	1	134.436159624	134.510542690	3477.419	6678.226	4-added-channels.wav	RWBL
133	Spectrogram 1	1	134.950112595	134.989783563	2015.323	3082.258	4-added-channels.wav	GRCA
134	Spectrogram 1	1	135.723696481	135.805517854	2489.516	4030.645	4-added-channels.wav	GRCA
135	Spectrogram 1	1	136.637723239	136.697229692	2963.710	3912.097	4-added-channels.wav	AGOL
136	Spectrogram 1	1	138.106258603	138.217833202	2133.871	2805.645	4-added-channels.wav	RBGR
137	Spectrogram 1	1	138.143450136	138.205436024	3437.903	5255.645	4-added-channels.wav	AGOL
138	Spectrogram 1	1	139.307014929	139.369000818	1343.548	3714.516	4-added-channels.wav	NOCA
139	Spectrogram 1	1	139.688848001	139.790504858	2963.710	4070.161	4-added-channels.wav	RWBL
140	Spectrogram 1	1	140.061473147	140.525127592	2568.548	3951.613	4-added-channels.wav	RWBL
141	Spectrogram 1	1	143.377897799	143.491951833	4465.323	7152.419	4-added-channels.wav	COYE
142	Spectrogram 1	1	145.095971773	145.160437097	3240.323	5137.097	4-added-channels.wav	AGOL
