Start (s),End (s),Scientific name,Common name,Confidence,File
1.5,4.5,Vireo olivaceus,Red-eyed Vireo,0.1478,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
3.0,6.0,Cyanocitta cristata,Blue Jay,0.0831,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
3.0,6.0,Dumetella carolinensis,Gray Catbird,0.0656,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
6.0,9.0,Cardellina canadensis,Canada Warbler,0.0748,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
7.5,10.5,Cardellina canadensis,Canada Warbler,0.0830,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
9.0,12.0,Cyanocitta cristata,Blue Jay,0.1201,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
9.0,12.0,Setophaga pensylvanica,Chestnut-sided Warbler,0.0538,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
10.5,13.5,Cyanocitta cristata,Blue Jay,0.1032,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
12.0,15.0,Cyanocitta cristata,Blue Jay,0.2158,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
12.0,15.0,Dumetella carolinensis,Gray Catbird,0.1196,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
12.0,15.0,Vireo olivaceus,Red-eyed Vireo,0.0656,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
13.5,16.5,Cyanocitta cristata,Blue Jay,0.1695,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
13.5,16.5,Vireo olivaceus,Red-eyed Vireo,0.0552,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
15.0,18.0,Contopus virens,Eastern Wood-Pewee,0.0939,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
15.0,18.0,Vireo olivaceus,Red-eyed Vireo,0.0613,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
16.5,19.5,Contopus virens,Eastern Wood-Pewee,0.1318,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
16.5,19.5,Setophaga caerulescens,Black-throated Blue Warbler,0.0797,/Users/lillianwang/Downloads/Tetrahedral/recordings/1.WAV
